ID,Title,Release Year,Rating,Slug
123,The Shawshank Redemption,1994,0.0,the-shawshank-redemption
124,The Godfather,1972,0.0,the-godfather
125,Schindler's List,1993,0.0,schindler-s-list
126,The Godfather Part II,1974,0.0,the-godfather-part-ii
127,12 Angry Men,1957,0.0,12-angry-men
128,The Dark Knight,2008,0.0,the-dark-knight
129,Dilwale Dulhania Le Jayenge,1995,0.0,dilwale-dulhania-le-jayenge
130,Spirited Away,2001,0.0,spirited-away
131,The Green Mile,1999,0.0,the-green-mile
133,Parasite,2019,0.0,parasite
137,Interstellar,2014,0.0,interstellar
141,Grave of the Fireflies,1988,0.0,grave-of-the-fireflies
152,The Lord of the Rings: The Two Towers,2002,0.0,the-lord-of-the-rings-the-two-towers
158,Howl's Moving Castle,2004,0.0,howl-s-moving-castle
161,The Pianist,2002,0.0,the-pianist
164,Lucy Shimmers and the Prince of Peace,2020,0.0,lucy-shimmers-and-the-prince-of-peace
132,The Lord of the Rings: The Return of the King,2003,0.0,the-lord-of-the-rings-the-return-of-the-king
135,Your Name.,2016,0.0,your-name
143,Fight Club,1999,0.0,fight-club
147,City of God,2002,0.0,city-of-god
153,Gabriel's Inferno,2020,0.0,gabriel-s-inferno
155,Once Upon a Time in America,1984,0.0,once-upon-a-time-in-america
162,Whiplash,2014,0.0,whiplash
168,Rear Window,1954,0.0,rear-window
170,High and Low,1963,0.0,high-and-low
134,Pulp Fiction,1994,0.0,pulp-fiction
139,Seven Samurai,1954,0.0,seven-samurai
148,Impossible Things,2021,0.0,impossible-things
154,Hope,2013,0.0,hope
160,Se7en,1995,0.0,se7en
167,Radical,2023,0.0,radical
169,The Silence of the Lambs,1991,0.0,the-silence-of-the-lambs
175,The Quintessential Quintuplets Movie,2022,0.0,the-quintessential-quintuplets-movie
136,"The Good, the Bad and the Ugly",1966,0.0,the-good-the-bad-and-the-ugly
138,Forrest Gump,1994,0.0,forrest-gump
142,Life Is Beautiful,1997,0.0,life-is-beautiful
145,Cinema Paradiso,1988,0.0,cinema-paradiso
150,A Dog's Will,2000,0.0,a-dog-s-will
157,Spider-Man: Into the Spider-Verse,2018,0.0,spider-man-into-the-spider-verse
159,A Silent Voice: The Movie,2016,0.0,a-silent-voice-the-movie
171,Spider-Man: Across the Spider-Verse,2023,0.0,spider-man-across-the-spider-verse
140,GoodFellas,1990,0.0,goodfellas
144,Harakiri,1962,0.0,harakiri
146,The Lord of the Rings: The Fellowship of the Ring,2001,0.0,the-lord-of-the-rings-the-fellowship-of-the-ring
149,Psycho,1960,0.0,psycho
151,One Flew Over the Cuckoo's Nest,1975,0.0,one-flew-over-the-cuckoo-s-nest
156,The Empire Strikes Back,1980,0.0,the-empire-strikes-back
163,Inception,2010,0.0,inception
166,Gabriel's Inferno: Part III,2020,0.0,gabriel-s-inferno-part-iii
165,Gabriel's Inferno: Part II,2020,0.0,gabriel-s-inferno-part-ii
172,American History X,1998,0.0,american-history-x
176,Back to the Future,1985,0.0,back-to-the-future
179,Dou kyu sei – Classmates,2016,0.0,dou-kyu-sei-classmates
181,Perfect Blue,1998,0.0,perfect-blue
173,Princess Mononoke,1997,0.0,princess-mononoke
174,The Legend of Hei,2019,0.0,the-legend-of-hei
177,Ikiru,1952,0.0,ikiru
178,The Wild Robot,2024,0.0,the-wild-robot
180,Dead Poets Society,1989,0.0,dead-poets-society
182,Léon: The Professional,1994,0.0,leon-the-professional
195,One Battle After Another,2025,0.0,one-battle-after-another
